id,name,area,salary,created_at,alternate_url,employer,professional_roles,experience,employment,requirement,responsibility
100965743,QA-менеджер (тестировщик сайтов),Барнаул,45000.0,2024-06-02T10:20:13+0300,https://hh.ru/vacancy/100965743,"Сибирикс, SCRUM-студия",Тестировщик,Нет опыта,Полная занятость,"Системное, логическое мышление. Внимание к мелочам. Абсолютная грамотность. Мега адекватность и конструктивное восприятие реальности. Способность быстро переключаться между задачами. ","Тестировать сайты и мобильные приложения, находить там ошибки, баги. Записывать их так, чтобы разработчикам было понятно в чем проблема (простыми..."
100340846,SMM-менеджер/контент-менеджер,Барнаул,50000.0,2024-05-27T12:11:22+0300,https://hh.ru/vacancy/100340846,Бурнаева Валентина Вениаминовна,"SMM-менеджер, контент-менеджер",От 1 года до 3 лет,Полная занятость,"...Lightroom, Photoshop или других). Интерес к теме стратегического управления своей жизнью. Знание или желание освоить веб-<highlighttext>аналитику</highlighttext> (Google Analytics, Яндекс.Метрика).",Cоздание грамотной «упаковки» для социальных сетей бизнеса на основе миссии и ТЗ. Постоянный монтаж Reels из готового большого объема контента. 
100802047,Логист в офис,Барнаул,70000.0,2024-05-31T10:51:47+0300,https://hh.ru/vacancy/100802047,Бушмин Вячеслав,Другое,Нет опыта,Полная занятость,"1. Опыт работы не требуется; (обучаем профессии с нуля). 2. Желание работать на результат. 3. Умение работать, как в команде...",1. Оформление заявок. 2. Контроль организации процесса перевозок.
100520080,Ведущий экономист сметно-договорного отдела,Барнаул,70246.0,2024-05-28T17:22:40+0300,https://hh.ru/vacancy/100520080,МБУ Автодорстрой г.Барнаула,Экономист,От 1 года до 3 лет,Полная занятость,"Высшее образование, знание ФЗ-44 и ФЗ-223 и прочих нормативных документов, связанных с закупочным процессом. Наличие действующего удостоверения о...","Работа с исполнением контрактов, подготовка дополнительных соглашений (своевременное размещение информации в ЕИС). Подготовка периодической отчетности, <highlighttext>аналитика</highlighttext> по закупочным процедурам."
100088875,Маркетолог,Барнаул,80000.0,2024-06-02T15:45:50+0300,https://hh.ru/vacancy/100088875,Эспрингс,"Менеджер по маркетингу, интернет-маркетолог",От 1 года до 3 лет,Полная занятость,Гибкость - отсутствие строгих бюрократичных процессов. Имели подтвержденный релевантный опыт в сфере digital маркетинга от 3-х лет. Эффективно использовали и...,"...печатной продукции и упаковки продукта. Поиск, коммуникация с подрядчиками и фрилансом, постановка ТЗ и сопровождение. Отчетность еженедельная, ежемесячная ведение <highlighttext>аналитики</highlighttext>."
100341070,Маркетолог,Барнаул,46000.0,2024-05-27T12:11:58+0300,https://hh.ru/vacancy/100341070,НОВЭКС,"Менеджер по маркетингу, интернет-маркетолог",От 1 года до 3 лет,Полная занятость,"знаком с понятиями охваты, лиды, триггер, ROMI, ROI, LTV, конверсия, таргетинг, CTR и т.п.. - любишь учиться.",готов(а) к работе с <highlighttext>аналитикой</highlighttext> по нескольким регионам Сибири. - готов(а) к планированию региональных медиапланов и бюджетов. - 
97202392,Стажер в IT-отдел,Барнаул,,2024-05-21T10:36:22+0300,https://hh.ru/vacancy/97202392,"Алтайлес, Лесная холдинговая компания","Программист, разработчик",Нет опыта,Полная занятость,Желательно законченное / не законченное образование в области ИТ. Знание компьютера и офисных приложений. Наличие начальных и общих теоретических знаний знаний...,<highlighttext>Аналитика</highlighttext> бизнес-процессов и администрирование IT проектов. Разработка продуктов 1С. Техническая поддержка пользователей. Системное администрирование. Информационная безопасность.
100281430,Менеджер по закупкам,Барнаул,170000.0,2024-05-27T06:32:14+0300,https://hh.ru/vacancy/100281430,Мария-Ра,Менеджер по закупкам,От 3 до 6 лет,Полная занятость,Опыт ведения переговоров. Знание различных методов анализа. Умение проводить сравнительные анализы с формулировкой выводов о проделанной работе. Навык планирования на...,"Отслеживание рыночных тенденций. Разработка и выполнение плана развития категории. Поиск новых поставщиков. Проведение переговоров, заключение договоров. Формирование конкурентоспособной ассортиментной матрицы. "
100452111,Менеджер по закупкам,Барнаул,60000.0,2024-05-28T08:26:40+0300,https://hh.ru/vacancy/100452111,Прямой угол,Менеджер по закупкам,От 1 года до 3 лет,Полная занятость,"уверенный пользователь ПК, знание офисных программ, в т.ч. 1С. - навыки ведения переговоров, знание основ документооборота. - знание строительных материалов...","Управление закупками и запасами по закреплённым товарным группам, в том числе: - контроль остатков по складским позициям, <highlighttext>аналитика</highlighttext> товарных групп. - "
100471752,Специалист планово-экономического отдела,Барнаул,65000.0,2024-05-31T10:55:45+0300,https://hh.ru/vacancy/100471752,ГК АЛГОРИТМ,Экономист,От 1 года до 3 лет,Полная занятость,"Высшее образование (экономическое / инженерно-экономическое). Знание бухгалтерского, налогового, управленческого учета. Опыт в сфере бюджетирования деятельности организаций. Умение анализировать результаты экономической...",подготовка отчетов: план / факт + прогноз поквартально в разрезе статей затрат). Контроль за корректным ведением <highlighttext>аналитики</highlighttext> по строительным объектам (в...
100782978,Аналитик - методист ИТ,Барнаул,40000.0,2024-05-31T07:33:56+0300,https://hh.ru/vacancy/100782978,Трофей-2,Специалист технической поддержки,Нет опыта,Полная занятость,Знание операционных систем линейки Windows. Способность к коммуникации с людьми (тех. поддержка). Рассмотрим выпускников без опыта по данному направлению.,"Техническая поддержка склада и офиса. Обеспечение работы локальной вычислительной сети. Обслуживание компьютерного и кассового оборудования, включая компьютеры, принтеры, сканеры, сетевые..."
99922121,Специалист по поисковому продвижению / Аналитик / SEO-интенсив,Барнаул,,2024-05-31T18:18:11+0300,https://hh.ru/vacancy/99922121,KINETICA performance agency,"Менеджер по маркетингу, интернет-маркетолог",Нет опыта,Стажировка,Внимательность и исполнительность. — Готовность выполнить короткое тестовое задание.,Оптимизация и поисковое продвижение федеральных проектов.
100492032,Директор по закупкам,Барнаул,,2024-05-31T13:27:22+0300,https://hh.ru/vacancy/100492032,Технодром,Коммерческий директор (CCO),От 3 до 6 лет,Полная занятость,Опыт управления закупом товара в торговых компаниях от 3 лет. Знание принципов категорийного менеджмента. Знание экономики торгового предприятия. ,"Обеспечение компании необходимым количеством товаров в соответствии с закупочной политикой компании. Формирование и расширение ассортиментной матрицы. Планирование закупа товара, расчет..."
100663711,Аналитик поддержки ПО,Барнаул,70000.0,2024-05-30T04:32:48+0300,https://hh.ru/vacancy/100663711,Мария-Ра,Специалист технической поддержки,От 1 года до 3 лет,Полная занятость,"Навык работы с HelpDesk (ServiceDesk) системами. Знание языка SQL (достаточно начального уровня). Навыки проведения экспресс-анализа проблемы пользователей, с предложением...",Принимать и выполнять заявки пользователей по инцидентам (в системе ServiceDesk). Принимать новый функционал от отдела разработки в поддержку. 
99818393,Менеджер по продажам,Барнаул,100000.0,2024-05-31T05:01:16+0300,https://hh.ru/vacancy/99818393,АлтайАвтономГаз,"Менеджер по продажам, менеджер по работе с клиентами",От 1 года до 3 лет,Полная занятость,"Умение работать в режиме многозадачности, внимательность. Желание работать и зарабатывать. Грамотная устная и письменная речь, знание делового этикета. ","Быстро и качественно обрабатывать входящие обращения. Оперативное взаимодействие с клиентами по всем вопросам, консультирование клиентов по товарам компании, подготовка коммерческих..."
101004774,"Менеджер маркетплейсов (wb,ozon)",Барнаул,15000.0,2024-06-02T22:03:09+0300,https://hh.ru/vacancy/101004774,Дьяков Иван Игоревич,"SMM-менеджер, контент-менеджер",От 1 года до 3 лет,Полная занятость,"Опыт от года в аналогичной специальности. Пройденные обучения по теме «менеджер маркет плейсов». Ответственный подход, системное мышление, пунктуальность, работа с...","Работа с карточками (сео, контент, отзывы, вопросы). Мониторинг позиций по ключевым запросам. <highlighttext>Аналитика</highlighttext>/отчетность. Ассистент руководителя. Работа с поставщиками/партнерами. "
100963490,Менеджер Wildberries,Барнаул,20000.0,2024-06-02T09:27:01+0300,https://hh.ru/vacancy/100963490,Новиков Иван Юрьевич,"Секретарь, помощник руководителя, ассистент",От 1 года до 3 лет,Частичная занятость,"Уверенного пользователя Excel и Google-таблиц (знаете, как работают формулы или самостоятельно разберетесь, как их настроить). Усидчивого внимательного талантливого человека...",Отслеживание динамики продаж. Контроль уровня рентабельности по всем товарам. Расчет рентабельности по акциям. Тест гипотез по увеличению заказов и продаж. 
98725330,Junior Java Spring Developer,Барнаул,70000.0,2024-05-12T12:56:47+0300,https://hh.ru/vacancy/98725330,SMARTIX,"Программист, разработчик",Нет опыта,Полная занятость,"Знание Java SE. Опыт работы с Spring Framework, Gradle. Опыт работы с реляционными базами данных (PostgreSQL). Знание RESTful services. ",...технологий Java Spring Framework и сопутствующих библиотек. Написание SQL-запросов. Написание unit-тестов. Тесное взаимодействие с командой <highlighttext>аналитики</highlighttext> и тестирования.
95504659,Специалист по организации мероприятий,Барнаул,,2024-05-27T06:30:53+0300,https://hh.ru/vacancy/95504659,АКТО,Другое,От 1 года до 3 лет,Полная занятость,"Средне-специальное образование. Опыт работы в аналогичной сфере. Опыт ведения документооборота и официальной переписки, знание основ делопроизводства. Финансовая грамотность. ","Участие во всех этапах подготовки и проведения мероприятии, контроль исполнения, управление командой подрядных организаций. Выполнение мониторинга, <highlighttext>аналитики</highlighttext> и сопоставительного анализа..."
100029509,Менеджер в офис,Барнаул,70000.0,2024-05-24T08:26:51+0300,https://hh.ru/vacancy/100029509,Бушмин Вячеслав,Другое,Нет опыта,Полная занятость,"1. Опыт работы не требуется; (обучаем профессии с нуля). 2. Желание работать на результат. 3. Умение работать, как в команде...",1. Оформление заявок. 2. Контроль организации процесса перевозок.
99707583,Помощник руководителя,Барнаул,40000.0,2024-05-21T13:58:49+0300,https://hh.ru/vacancy/99707583,Многоотраслевая Бизнес Компания,Менеджер по работе с партнерами,От 1 года до 3 лет,Полная занятость,Ответственное отношение к работе. Отличное знание компьютерных программ. Пунктуальность. Грамотность. Умение работать в команде. Нацеленность на результат.,"Работа по развитию, увеличению сети рекламных конструкций (биллборды). Организация обслуживания рекламных конструкций. <highlighttext>Аналитика</highlighttext> работы предприятия - работа с программой 1С. "
97153839,Менеджер маркетплейсов Ozon/WB,Барнаул,50000.0,2024-05-06T08:55:08+0300,https://hh.ru/vacancy/97153839,ТехноТрейд,Другое,От 1 года до 3 лет,Полная занятость,"Знание процессов работы маркетплейсов, инструментов e-commerce, инструментов интернет- <highlighttext>аналитики</highlighttext> и общих принципов анализа данных. Твердые знания Excel / Google Таблиц...",Формировать ежедневные отчеты (<highlighttext>аналитика</highlighttext> поисковой выдачи карточек товаров на Wildberries / Ozon - позиции по ключевым словам). Влиять на поднятие товаров в...
99459836,Работа в офисе Менеджер,Барнаул,70000.0,2024-05-19T09:06:45+0300,https://hh.ru/vacancy/99459836,Бушмин Вячеслав,Другое,Нет опыта,Полная занятость,"1. Опыт работы не требуется; (обучаем профессии с нуля). 2. Желание работать на результат. 3. Умение работать, как в команде...",1. Оформление заявок. 2. Контроль организации процесса перевозок.
98879324,Ассистент директора,Барнаул,80000.0,2024-05-20T05:25:52+0300,https://hh.ru/vacancy/98879324,Рекрутинговое Агентство ДЕЛО,"Секретарь, помощник руководителя, ассистент",От 3 до 6 лет,Полная занятость,"Успешный опыт работы в клиенториентированном бизнесе на позициях: менеджер по продажам, менеджер по работе с клиентами, менеджер проектов, бизнес-<highlighttext>аналитик</highlighttext>...","Сопровождение существующих бизнес-процессов компании. Разработка и внедрение регламентирующих документов, участие в автоматизации, оптимизации. Внедрение и контроль исполнения сотрудниками. "
98886365,Помощник руководителя,Барнаул,30000.0,2024-05-14T08:24:43+0300,https://hh.ru/vacancy/98886365,Панфилов Андрей Евгеньевич,"Секретарь, помощник руководителя, ассистент",От 1 года до 3 лет,Полная занятость,"Коммуникативность. Важно быть открытым, не душным. Четко поставленная речь, умение слушать, слышать и выражать мысли. Быть френдли. Работа в Гугл...","1. Прокачаетесь в бизнес - инструментах (маркетинге, продажах, найме, построению системы, оцифровке бизнеса, управлении, финансах)."
97175419,Администратор,Барнаул,35000.0,2024-05-16T09:23:03+0300,https://hh.ru/vacancy/97175419,Клинический лечебно-реабилитационный центр Территория здоровья,Администратор,От 1 года до 3 лет,Полная занятость,"Отличные коммуникативные навыки, самостоятельность и способность выполнять задачи «под ключ». Уверенно владеть инструментами <highlighttext>аналитики</highlighttext>. Готовность учиться новому и разбираться в...","Ведение телефонных переговоров (входящие обращения, звонки пациентам, запись на прием). Информирование пациентов об услугах Центра. Встреча, сопровождение пациентов отделения Врачебной..."
98743248,Ведущий специалист аналитического отдела,Барнаул,,2024-05-13T05:34:20+0300,https://hh.ru/vacancy/98743248,Ростелеком,Другое,От 1 года до 3 лет,Полная занятость,Высшее или среднее специальное образование. Опыт работы в клиентском сервисе и <highlighttext>аналитике</highlighttext> данных от одного года. Навык в реализации кейсов...,"Собирать <highlighttext>аналитику</highlighttext> обращаемости и оттока клиентов, выявлять причины. Проводить <highlighttext>аналитику</highlighttext> и мониторинг повторных заявок, выгрузку и презентацию данных. "
